governate,city,station_name,destination,price
القاهرة,حى الساحل - شبرا,عبود,دمياط,110.0
القاهرة,حى الساحل - شبرا,عبود,رأس البر,140.0
القاهرة,حى الساحل - شبرا,عبود,كفر الشيخ,59.0
القاهرة,حى الساحل - شبرا,عبود,قلين,60.0
القاهرة,حى الساحل - شبرا,عبود,الحامول,65.0
القاهرة,حى الساحل - شبرا,عبود,بيلا,66.0
القاهرة,حى الساحل - شبرا,عبود,بلطيم,85.0
القاهرة,حى الساحل - شبرا,عبود,دسوق,67.0
القاهرة,حى الساحل - شبرا,عبود,فوه,75.0
القاهرة,حى الساحل - شبرا,عبود,مطوبس,78.0
القاهرة,حى الساحل - شبرا,عبود,دمنهور,73.0
القاهرة,حى الساحل - شبرا,عبود,أبو المطامير,74.0
القاهرة,حى الساحل - شبرا,عبود,الدلنجات,73.0
القاهرة,حى الساحل - شبرا,عبود,شبراخيت,65.0
القاهرة,حى الساحل - شبرا,عبود,إيتاى البارود,60.0
القاهرة,حى الساحل - شبرا,عبود,مديرية التحرير,46.0
القاهرة,حى الساحل - شبرا,عبود,مدينة بدر,46.0
القاهرة,حى الساحل - شبرا,عبود,كوم حمادة,50.0
القاهرة,حى الساحل - شبرا,عبود,طنطا,46.0
القاهرة,حى الساحل - شبرا,عبود,السنطة,47.0
القاهرة,حى الساحل - شبرا,عبود,كفر الزيات,50.0
القاهرة,حى الساحل - شبرا,عبود,المحلة الكبرى,60.0
القاهرة,حى الساحل - شبرا,عبود,زفتى,45.0
القاهرة,حى الساحل - شبرا,عبود,شبين الكوم,33.0
القاهرة,حى الساحل - شبرا,عبود,تلا,43.0
القاهرة,حى الساحل - شبرا,عبود,نادر,42.0
القاهرة,حى الساحل - شبرا,عبود,الشهداء,42.0
القاهرة,حى الساحل - شبرا,عبود,منوف,33.0
القاهرة,حى الساحل - شبرا,عبود,قويسنا,31.0
القاهرة,حى الساحل - شبرا,عبود,بركة السبع,33.0
القاهرة,حى الساحل - شبرا,عبود,الزقازيق,45.0
القاهرة,حى الساحل - شبرا,عبود,أبو حماد,40.0
القاهرة,حى الساحل - شبرا,عبود,منيا القمح,30.0
القاهرة,حى الساحل - شبرا,عبود,بلبيس,30.0
القاهرة,حى الساحل - شبرا,عبود,ديرب نجم,50.0
القاهرة,حى الساحل - شبرا,عبود,فاقوس,56.0
القاهرة,حى الساحل - شبرا,عبود,أبو كبير,50.0
القاهرة,حى الساحل - شبرا,عبود,ههيا,40.0
القاهرة,حى الساحل - شبرا,عبود,كفر صقر,60.0
القاهرة,حى الساحل - شبرا,عبود,الإبراهيمية,50.0
القاهرة,حى الساحل - شبرا,عبود,الحسينية,67.0
القاهرة,حى الساحل - شبرا,عبود,أولاد صقر,62.0
القاهرة,حى الساحل - شبرا,عبود,المنصورة,59.0
القاهرة,حى الساحل - شبرا,عبود,دكرنس,65.0
القاهرة,حى الساحل - شبرا,عبود,السنبلاوين,60.0
القاهرة,حى الساحل - شبرا,عبود,شربين,62.0
القاهرة,حى الساحل - شبرا,عبود,المنزلة,88.0
القاهرة,حى الساحل - شبرا,عبود,منية النصر,66.0
القاهرة,حى الساحل - شبرا,عبود,بلقاس,66.0
القاهرة,حى الساحل - شبرا,عبود,ميت غمر,42.0
القاهرة,حى الساحل - شبرا,عبود,جمصة,81.0
القاهرة,حى الساحل - شبرا,عبود,الإسكندرية,120.0
القاهرة,حى الساحل - شبرا,عبود,الإسكندرية (مكيف),130.0
القاهرة,حى الساحل - شبرا,عبود,الفيوم,55.0
القاهرة,حى الساحل - شبرا,عبود,يوسف الصديق,62.0
القاهرة,حى الساحل - شبرا,عبود,بنى سويف,72.0
القاهرة,حى الساحل - شبرا,عبود,الواسطى,72.0
القاهرة,حى الساحل - شبرا,عبود,المنيا,170.0
القاهرة,حى الساحل - شبرا,عبود,أسيوط,205.0
القاهرة,حى الساحل - شبرا,عبود,سوهاج,245.0
القاهرة,حى الساحل - شبرا,عبود,الوادى الجديد,290.0
القاهرة,السلام,السلام,الزقازيق,38.0
القاهرة,السلام,السلام,فاقوس,52.0
القاهرة,السلام,السلام,الحسينية,56.0
القاهرة,السلام,السلام,أبو كبير,46.0
القاهرة,السلام,السلام,كفر صقر,50.0
